,a,b
0,1,2
1,2,4
2,3,6
3,4,8
4,5,10
5,6,12
6,7,14
7,8,16
8,9,18
9,10,20
10,11,22
11,12,24
12,13,26
13,14,28
14,15,30
15,16,32
16,17,34
17,18,36
18,19,38
19,20,40
20,21,42
21,22,44
22,23,46
23,24,48
24,25,50
25,26,52
26,27,54
27,28,56
28,29,58
29,30,60
30,31,62
31,32,64
32,33,66
33,34,68
34,35,70
35,36,72
36,37,74
37,38,76
38,39,78
39,40,80
40,41,82
41,42,84
42,43,86
43,44,88
44,45,90
45,46,92
46,47,94
47,48,96
48,49,98
49,50,100
50,51,102
51,52,104
52,53,106
53,54,108
54,55,110
55,56,112
56,57,114
57,58,116
58,59,118
59,60,120
60,61,122
61,62,124
62,63,126
63,64,128
64,65,130
65,66,132
66,67,134
67,68,136
68,69,138
69,70,140
70,71,142
71,72,144
72,73,146
73,74,148
74,75,150
75,76,152
76,77,154
77,78,156
78,79,158
79,80,160
80,81,162
81,82,164
82,83,166
83,84,168
84,85,170
85,86,172
86,87,174
87,88,176
88,89,178
89,90,180
90,91,182
91,92,184
92,93,186
93,94,188
94,95,190
95,96,192
96,97,194
97,98,196
98,99,198
99,100,200
100,101,202
101,102,204
102,103,206
103,104,208
104,105,210
105,106,212
106,107,214
107,108,216
108,109,218
109,110,220
110,111,222
111,112,224
112,113,226
113,114,228
114,115,230
115,116,232
116,117,234
117,118,236
118,119,238
119,120,240
120,121,242
121,122,244
122,123,246
123,124,248
124,125,250
125,126,252
126,127,254
127,128,256
128,129,258
129,130,260
130,131,262
131,132,264
132,133,266
133,134,268
134,135,270
135,136,272
136,137,274
137,138,276
138,139,278
139,140,280
140,141,282
141,142,284
142,143,286
143,144,288
144,145,290
145,146,292
146,147,294
147,148,296
148,149,298
149,150,300
150,151,302
151,152,304
152,153,306
153,154,308
154,155,310
155,156,312
156,157,314
157,158,316
158,159,318
159,160,320
160,161,322
161,162,324
162,163,326
163,164,328
164,165,330
165,166,332
166,167,334
167,168,336
168,169,338
169,170,340
170,171,342
171,172,344
172,173,346
173,174,348
174,175,350
175,176,352
176,177,354
177,178,356
178,179,358
179,180,360
180,181,362
181,182,364
182,183,366
183,184,368
184,185,370
185,186,372
186,187,374
187,188,376
188,189,378
189,190,380
190,191,382
191,192,384
192,193,386
193,194,388
194,195,390
195,196,392
196,197,394
197,198,396
198,199,398
199,200,400
200,201,402
201,202,404
202,203,406
203,204,408
204,205,410
